Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,Western Europe,7.808700085,0.03115630522,7.869766235,7.747633934,10.63926697,0.9543297291,71.9008255,0.9491721988,-0.05948201939,0.1954445839,1.972316742,1.285189509,1.499525905,0.9612714052,0.6623167396,0.1596704423,0.4778572619,2.762835026
Denmark,Western Europe,7.645599842,0.03349228576,7.711244583,7.579955101,10.77400112,0.9559907913,72.40250397,0.9514442682,0.06620177627,0.1684894562,1.972316742,1.326948524,1.503449202,0.9793325663,0.665039897,0.2427933961,0.4952603281,2.432740688
Switzerland,Western Europe,7.559899807,0.03501417115,7.628527641,7.491271973,10.97993279,0.9428465962,74.10244751,0.9213366508,0.1059110388,0.3037284315,1.972316742,1.39077425,1.472403407,1.040533185,0.6289544702,0.2690557539,0.4079459012,2.35026741
Iceland,Western Europe,7.504499912,0.05961586162,7.621346951,7.387652874,10.77255917,0.9746695757,73,0.9488918781,0.2469442189,0.7117097378,1.972316742,1.326501608,1.547567487,1.000843406,0.6619807482,0.3623302281,0.1445407718,2.460688114
Norway,Western Europe,7.487999916,0.03483738378,7.55628109,7.419718742,11.08780384,0.9524865746,73.20078278,0.9557502866,0.1345326304,0.2632181942,1.972316742,1.42420733,1.495172501,1.008071899,0.6702008843,0.2879850864,0.4341005683,2.168266296
Netherlands,Western Europe,7.448900223,0.02779174969,7.503372192,7.394428253,10.81271172,0.9391388297,72.30091858,0.9085478187,0.20761244,0.3647171259,1.972316742,1.338946342,1.463645935,0.9756753445,0.6136264801,0.336317569,0.3685697615,2.352117062
Sweden,Western Europe,7.353499889,0.03623419628,7.424519062,7.282480717,10.75879383,0.9263111949,72.60076904,0.9391441941,0.1116146222,0.2508801818,1.972316742,1.322235227,1.433347702,0.9864704609,0.6502977014,0.2728278935,0.4420663714,2.246299267
New Zealand,North America and ANZ,7.299600124,0.03946546838,7.376952648,7.222247601,10.50094318,0.9491189718,73.20262909,0.9362174869,0.1915980726,0.2211388499,1.972316742,1.242317915,1.48721838,1.008138299,0.6467899084,0.3257262111,0.461268276,2.128108025
Austria,Western Europe,7.294199944,0.03336516395,7.359595776,7.228804111,10.7428236,0.9280458689,73.00250244,0.8999894857,0.08542922139,0.4999548793,1.972316742,1.317285538,1.437444925,1.000933528,0.6033688784,0.255509764,0.2812561393,2.398446083
Luxembourg,Western Europe,7.237500191,0.03085179441,7.297969818,7.177030563,11.45068073,0.9069122076,72.59999847,0.9056364298,-0.004620587919,0.3670842946,1.972316742,1.536676049,1.387528419,0.9864426851,0.6101370454,0.1959539205,0.3670414686,2.153700352
Canada,North America and ANZ,7.23210001,0.0404054597,7.311294556,7.152905464,10.69236851,0.9271766543,73.60160065,0.9339132309,0.124770768,0.3908433616,1.972316742,1.301647663,1.435391903,1.022501945,0.6440281272,0.2815289199,0.3517018557,2.195269108
Australia,North America and ANZ,7.222799778,0.0418411158,7.30480814,7.140791416,10.72059631,0.9448546171,73.60453796,0.9154317379,0.1904601604,0.4151691198,1.972316742,1.310396433,1.477146268,1.022607684,0.6218771935,0.324973613,0.3359964192,2.129804134
United Kingdom,Western Europe,7.164500237,0.03716190904,7.237337589,7.091662884,10.60013485,0.9366828203,72.30160522,0.8347436786,0.2637324929,0.4359159172,1.972316742,1.273061037,1.457844973,0.9757000804,0.5251686573,0.3734334409,0.3226016462,2.236721992
Israel,Middle East and North Africa,7.128600121,0.04251518101,7.211929798,7.045270443,10.41752529,0.9135712385,73.20025635,0.7475805879,0.10259372,0.7808550596,1.972316742,1.216463685,1.403256774,1.008052945,0.4206994772,0.2668617964,0.09989845008,2.713358402
Costa Rica,Latin America and Caribbean,7.121399879,0.04481611773,7.209239483,7.033560276,9.658156395,0.9015459418,71.29985046,0.934738934,-0.1024297103,0.7863324285,1.972316742,0.9811077118,1.374853611,0.9396353364,0.6450177431,0.1312663108,0.0963620916,2.953135014
Ireland,Western Europe,7.093699932,0.03986345232,7.171832085,7.01556778,11.16097832,0.9420815706,72.30078888,0.8869829774,0.1457849741,0.3571841717,1.972316742,1.446886778,1.470596433,0.9756706953,0.5877799392,0.2954269946,0.3734332621,1.943878174
Germany,Western Europe,7.075799942,0.03560980409,7.145595074,7.00600481,10.7328186,0.8988744617,72.20201874,0.8673710823,0.08017938584,0.4564220309,1.972316742,1.314184546,1.368543744,0.9721148014,0.5642741323,0.252037704,0.3093622923,2.295249462
United States,North America and ANZ,6.939599991,0.0473161675,7.032339573,6.846860409,10.92576885,0.9142190218,68.29949951,0.8426195383,0.1498917341,0.6997153163,1.972316742,1.37398684,1.404786706,0.831618011,0.5346082449,0.298143059,0.1522847414,2.344124794
Czech Republic,Central and Eastern Europe,6.910900116,0.04289129749,6.994966984,6.826833248,10.40416336,0.9144306779,70.04793549,0.8185373545,-0.2308615148,0.8584462404,1.972316742,1.212322354,1.40528667,0.8945644498,0.5057445765,0.04632592946,0.04980322346,2.796808243
Belgium,Western Europe,6.863500118,0.03437035531,6.930866241,6.796133995,10.6736393,0.9116325378,72.00164795,0.8135820627,-0.07869119942,0.6122979522,1.972316742,1.295842767,1.398677588,0.9649011493,0.4998054206,0.1469661593,0.2087240517,2.348626614
